GeoFIPS,GeoName,Region,ComponentId,ComponentName,IndustryId,IndustryClassification,Description,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4
4000,Arizona,6,200,Gross domestic product (GDP) by state,64,55,   Management of companies and enterprises,3542,3770,3928,3890,4012,3817,3824,3874,3815,3936,4133,4157
4000,Arizona,6,200,Gross domestic product (GDP) by state,65,56,   Administrative and waste management services,12511,12730,13037,13213,13491,13644,13846,14043,13958,14463,14777,14907
4000,Arizona,6,200,Gross domestic product (GDP) by state,69,61,   Educational services,3256,3247,3316,3346,3303,3300,3347,3413,3303,3293,3377,3406
4000,Arizona,6,200,Gross domestic product (GDP) by state,70,62,   Health care and social assistance,22137,22606,23011,23310,23515,23883,24368,24605,25681,25075,25938,26221
4000,Arizona,6,200,Gross domestic product (GDP) by state,75,71,"   Arts, entertainment, and recreation",2825,2909,2894,2988,2974,2935,2984,3108,3138,3222,3350,3400
4000,Arizona,6,200,Gross domestic product (GDP) by state,78,72,   Accommodation and food services,9232,9326,9450,9595,9933,9998,10159,10386,10261,10402,10583,10724
4000,Arizona,6,200,Gross domestic product (GDP) by state,81,81,"   Other services, except government",5938,5945,6237,6215,6231,6322,6334,6521,6511,6564,6636,6630
4000,Arizona,6,200,Gross domestic product (GDP) by state,82,92, Government,38340,38539,38730,39186,39101,39752,39700,40078,40096,39922,41301,41482
5000,Arkansas,5,200,Gross domestic product (GDP) by state,1,...,All industry total,116195,117594,118550,119348,117064,118592,119560,119492,119920,120704,120683,121448
5000,Arkansas,5,200,Gross domestic product (GDP) by state,2,..., Private industries,100892,102189,103164,103822,101475,102973,103913,103898,104076,104971,104812,105512
5000,Arkansas,5,200,Gross domestic product (GDP) by state,3,11,"   Agriculture, forestry, fishing, and hunting",4113,4402,3876,4014,3194,3381,3506,2998,3232,3100,2903,2737
5000,Arkansas,5,200,Gross domestic product (GDP) by state,6,21,   Mining,4268,4351,4365,3967,2950,2880,2438,2070,1627,1753,1683,1799
5000,Arkansas,5,200,Gross domestic product (GDP) by state,10,22,   Utilities,3064,2959,2916,2886,2919,2840,2975,2938,2769,2764,2967,2936
5000,Arkansas,5,200,Gross domestic product (GDP) by state,11,23,   Construction,4233,4185,4134,4364,4256,4381,4614,4794,4728,4768,4689,4738
5000,Arkansas,5,200,Gross domestic product (GDP) by state,12,31-33,   Manufacturing,17177,17399,17668,17574,17275,17405,17547,17507,17281,17217,17399,17487
5000,Arkansas,5,200,Gross domestic product (GDP) by state,13,...,     Durable goods manufacturing,7979,8163,8370,8324,8074,8005,7990,8021,8032,7828,7902,7930
5000,Arkansas,5,200,Gross domestic product (GDP) by state,25,...,     Nondurable goods manufacturing,9198,9236,9299,9251,9201,9400,9556,9485,9249,9389,9496,9558
5000,Arkansas,5,200,Gross domestic product (GDP) by state,34,42,   Wholesale trade,8184,8296,8472,8556,8726,8770,8786,8847,8581,8711,8758,8768
5000,Arkansas,5,200,Gross domestic product (GDP) by state,35,44-45,   Retail trade,7952,8059,8165,8339,8043,8429,8550,8636,8744,8886,8716,8734
5000,Arkansas,5,200,Gross domestic product (GDP) by state,36,48-49,   Transportation and warehousing,4746,4884,5068,5167,5066,5113,5118,5070,5054,5171,4954,4999
5000,Arkansas,5,200,Gross domestic product (GDP) by state,45,51,   Information,4351,4238,4224,4135,4171,4205,4243,4304,4417,4367,4314,4305
5000,Arkansas,5,200,Gross domestic product (GDP) by state,51,52,   Finance and insurance,4830,5053,5124,4985,5015,5078,4989,5083,5386,5236,5393,5547
5000,Arkansas,5,200,Gross domestic product (GDP) by state,56,53,   Real estate and rental and leasing,11535,11682,11876,11990,12162,12271,12358,12436,12662,12684,12725,12883
5000,Arkansas,5,200,Gross domestic product (GDP) by state,60,54,"   Professional, scientific, and technical services",3782,3829,3876,4024,4073,4056,4124,4089,4224,4291,4337,4362
5000,Arkansas,5,200,Gross domestic product (GDP) by state,64,55,   Management of companies and enterprises,4504,4474,4689,4723,4603,4781,4919,4934,4898,5379,5125,5097
5000,Arkansas,5,200,Gross domestic product (GDP) by state,65,56,   Administrative and waste management services,2914,2961,2968,3156,3100,3140,3239,3324,3296,3385,3365,3418
5000,Arkansas,5,200,Gross domestic product (GDP) by state,69,61,   Educational services,630,642,645,643,641,649,658,658,677,672,672,679
5000,Arkansas,5,200,Gross domestic product (GDP) by state,70,62,   Health care and social assistance,8880,8929,9131,9227,9248,9439,9603,9800,9959,10082,10227,10351
5000,Arkansas,5,200,Gross domestic product (GDP) by state,75,71,"   Arts, entertainment, and recreation",452,463,480,487,469,476,478,505,502,524,522,542
5000,Arkansas,5,200,Gross domestic product (GDP) by state,78,72,   Accommodation and food services,2756,2821,2860,2930,2954,3023,3094,3166,3225,3199,3240,3269
5000,Arkansas,5,200,Gross domestic product (GDP) by state,81,81,"   Other services, except government",2519,2561,2627,2654,2610,2655,2675,2740,2815,2780,2823,2861
5000,Arkansas,5,200,Gross domestic product (GDP) by state,82,92, Government,15303,15405,15387,15526,15589,15619,15647,15594,15843,15733,15871,15936
6000,California,8,200,Gross domestic product (GDP) by state,1,...,All industry total,2294813,2330630,2376823,2395087,2444063,2485470,2505638,2531304,2545953,2581572,2627083,2656080
6000,California,8,200,Gross domestic product (GDP) by state,2,..., Private industries,2007993,2041102,2083451,2098534,2144858,2181137,2197985,2223500,2230710,2265670,2308005,2334321
6000,California,8,200,Gross domestic product (GDP) by state,3,11,"   Agriculture, forestry, fishing, and hunting",39605,40783,37355,35255,34147,33547,33506,34511,30587,31697,32514,32416
6000,California,8,200,Gross domestic product (GDP) by state,6,21,   Mining,21787,21204,19795,19631,12918,12989,11046,9605,7971,8763,8783,9373
6000,California,8,200,Gross domestic product (GDP) by state,10,22,   Utilities,28121,27885,28071,28400,28319,27904,28772,28874,27470,28017,29248,29056
6000,California,8,200,Gross domestic product (GDP) by state,11,23,   Construction,80580,81075,82751,84244,87892,90489,93191,96573,97588,100163,101754,103836
6000,California,8,200,Gross domestic product (GDP) by state,12,31-33,   Manufacturing,258331,260777,273930,272214,273381,283132,281787,286094,285637,286516,291097,292653
6000,California,8,200,Gross domestic product (GDP) by state,13,...,     Durable goods manufacturing,145403,145678,155407,154991,156525,160464,158098,164651,165923,164900,168179,169365
6000,California,8,200,Gross domestic product (GDP) by state,25,...,     Nondurable goods manufacturing,112928,115099,118523,117224,116856,122669,123689,121444,119714,121616,122917,123288
6000,California,8,200,Gross domestic product (GDP) by state,34,42,   Wholesale trade,128061,130809,134067,137227,138217,139901,139294,137857,137304,136879,139568,141250
6000,California,8,200,Gross domestic product (GDP) by state,35,44-45,   Retail trade,130760,133772,136569,137801,139990,142053,143183,144151,145046,142777,145172,146527
6000,California,8,200,Gross domestic product (GDP) by state,36,48-49,   Transportation and warehousing,51670,53281,54815,55901,57119,58025,59284,60743,61727,62610,64042,64919
6000,California,8,200,Gross domestic product (GDP) by state,45,51,   Information,178177,177630,177921,175357,189684,199181,202692,209436,214833,212859,221062,221761
6000,California,8,200,Gross domestic product (GDP) by state,51,52,   Finance and insurance,111850,115942,118057,118871,119255,119523,120423,118689,122783,124649,129009,132293
6000,California,8,200,Gross domestic product (GDP) by state,56,53,   Real estate and rental and leasing,385182,396740,401044,405244,415135,415622,421455,424716,421195,435545,443770,450525
6000,California,8,200,Gross domestic product (GDP) by state,60,54,"   Professional, scientific, and technical services",192850,195296,201612,204797,216298,218484,218234,217193,217351,224031,226698,229157
6000,California,8,200,Gross domestic product (GDP) by state,64,55,   Management of companies and enterprises,36539,36067,37395,39112,39310,39708,39260,39755,40538,43413,41747,41772
6000,California,8,200,Gross domestic product (GDP) by state,65,56,   Administrative and waste management services,59519,60759,62374,63282,64873,65901,66537,69142,68917,70724,71217,72020
6000,California,8,200,Gross domestic product (GDP) by state,69,61,   Educational services,23501,23891,24260,24547,24330,24503,24747,24871,25366,25215,25480,25770
6000,California,8,200,Gross domestic product (GDP) by state,70,62,   Health care and social assistance,139109,140469,144102,145735,148725,151925,155121,158434,159658,163445,166511,168477
6000,California,8,200,Gross domestic product (GDP) by state,75,71,"   Arts, entertainment, and recreation",32676,32470,33474,33582,34486,35813,35847,35821,37120,37764,37807,38437
6000,California,8,200,Gross domestic product (GDP) by state,78,72,   Accommodation and food services,59984,61635,63940,65048,67574,68459,69393,71625,73231,73979,75333,76167
6000,California,8,200,Gross domestic product (GDP) by state,81,81,"   Other services, except government",49691,50614,51918,52286,53203,53978,54213,55410,56389,56627,57193,57911
6000,California,8,200,Gross domestic product (GDP) by state,82,92, Government,286820,289529,293372,296553,299205,304333,307653,307803,315244,315902,319078,321759
8000,Colorado,7,200,Gross domestic product (GDP) by state,1,...,All industry total,297082,302636,308699,312818,309993,313303,314546,315475,316481,320634,327333,330319
8000,Colorado,7,200,Gross domestic product (GDP) by state,2,..., Private industries,260433,265602,271384,275274,271739,274812,275604,276583,276872,280782,287299,290103
8000,Colorado,7,200,Gross domestic product (GDP) by state,3,11,"   Agriculture, forestry, fishing, and hunting",2756,2830,2612,2546,2598,2520,2568,2118,2156,2126,2155,1869
