date,net_change,total_expand,expand_establish,open_establish,total_contract,contract_establish,end_establish,industry
12/31/92,4,339,272,67,335,267,68,Natural resources and mining
3/31/93,7,328,257,71,321,261,60,Natural resources and mining
6/30/93,7,339,267,72,332,275,57,Natural resources and mining
9/30/93,6,375,301,74,369,300,69,Natural resources and mining
12/31/93,26,361,292,69,335,269,66,Natural resources and mining
3/31/94,0,328,264,64,328,273,55,Natural resources and mining
6/30/94,1,349,282,67,348,291,57,Natural resources and mining
9/30/94,-1,366,295,71,367,298,69,Natural resources and mining
12/31/94,-5,339,277,62,344,275,69,Natural resources and mining
3/31/95,5,344,279,65,339,280,59,Natural resources and mining
6/30/95,-28,338,266,72,366,292,74,Natural resources and mining
9/30/95,47,385,314,71,338,273,65,Natural resources and mining
12/31/95,-3,351,285,66,354,281,73,Natural resources and mining
3/31/96,0,346,275,71,346,286,60,Natural resources and mining
6/30/96,8,344,274,70,336,271,65,Natural resources and mining
9/30/96,6,361,291,70,355,291,64,Natural resources and mining
12/31/96,12,356,286,70,344,275,69,Natural resources and mining
3/31/97,29,369,296,73,340,276,64,Natural resources and mining
6/30/97,-12,336,271,65,348,284,64,Natural resources and mining
9/30/97,17,370,292,78,353,282,71,Natural resources and mining
12/31/97,-4,341,279,62,345,273,72,Natural resources and mining
3/31/98,4,351,274,77,347,284,63,Natural resources and mining
6/30/98,-11,338,259,79,349,283,66,Natural resources and mining
9/30/98,8,343,278,65,335,279,56,Natural resources and mining
12/31/98,-12,321,270,51,333,271,62,Natural resources and mining
3/31/99,-56,309,249,60,365,303,62,Natural resources and mining
6/30/99,-22,318,254,64,340,276,64,Natural resources and mining
9/30/99,6,342,277,65,336,270,66,Natural resources and mining
12/31/99,-2,319,256,63,321,263,58,Natural resources and mining
3/31/00,26,349,285,64,323,265,58,Natural resources and mining
6/30/00,3,319,260,59,316,261,55,Natural resources and mining
9/30/00,7,339,275,64,332,268,64,Natural resources and mining
12/31/00,-9,309,257,52,318,259,59,Natural resources and mining
3/31/01,-7,315,259,56,322,265,57,Natural resources and mining
6/30/01,4,311,255,56,307,253,54,Natural resources and mining
9/30/01,-7,306,247,59,313,256,57,Natural resources and mining
12/31/01,-14,297,245,52,311,257,54,Natural resources and mining
3/31/02,-13,302,248,54,315,259,56,Natural resources and mining
6/30/02,-18,293,238,55,311,256,55,Natural resources and mining
9/30/02,1,296,245,51,295,242,53,Natural resources and mining
12/31/02,-5,290,239,51,295,241,54,Natural resources and mining
3/31/03,11,311,254,57,300,244,56,Natural resources and mining
6/30/03,0,296,245,51,296,244,52,Natural resources and mining
9/30/03,-15,283,233,50,298,250,48,Natural resources and mining
12/31/03,8,290,237,53,282,236,46,Natural resources and mining
3/31/04,27,310,264,46,283,235,48,Natural resources and mining
6/30/04,-4,281,240,41,285,237,48,Natural resources and mining
9/30/04,-19,279,235,44,298,250,48,Natural resources and mining
12/31/04,26,296,248,48,270,229,41,Natural resources and mining
3/31/05,39,317,263,54,278,228,50,Natural resources and mining
6/30/05,-3,282,241,41,285,246,39,Natural resources and mining
9/30/05,-2,271,230,41,273,231,42,Natural resources and mining
12/31/05,20,284,239,45,264,225,39,Natural resources and mining
3/31/06,9,287,243,44,278,237,41,Natural resources and mining
6/30/06,22,290,247,43,268,231,37,Natural resources and mining
9/30/06,4,273,233,40,269,228,41,Natural resources and mining
12/31/06,26,289,246,43,263,226,37,Natural resources and mining
3/31/07,-1,290,247,43,291,250,41,Natural resources and mining
6/30/07,14,289,249,40,275,235,40,Natural resources and mining
9/30/07,-14,265,226,39,279,237,42,Natural resources and mining
12/31/07,34,293,251,42,259,221,38,Natural resources and mining
3/31/08,-12,283,240,43,295,253,42,Natural resources and mining
6/30/08,12,285,245,40,273,232,41,Natural resources and mining
9/30/08,20,283,245,38,263,227,36,Natural resources and mining
12/31/08,6,290,249,41,284,249,35,Natural resources and mining
3/31/09,-117,232,196,36,349,307,42,Natural resources and mining
6/30/09,-20,283,242,41,303,263,40,Natural resources and mining
9/30/09,-32,259,223,36,291,253,38,Natural resources and mining
12/31/09,0,288,246,42,288,249,39,Natural resources and mining
3/31/10,2,276,238,38,274,236,38,Natural resources and mining
6/30/10,71,306,263,43,235,202,33,Natural resources and mining
9/30/10,0,271,235,36,271,233,38,Natural resources and mining
12/31/10,11,287,242,45,276,239,37,Natural resources and mining
3/31/11,-3,264,226,38,267,232,35,Natural resources and mining
6/30/11,29,284,243,41,255,211,44,Natural resources and mining
9/30/11,65,309,264,45,244,213,31,Natural resources and mining
12/31/11,32,300,254,46,268,234,34,Natural resources and mining
3/31/12,21,290,250,40,269,231,38,Natural resources and mining
6/30/12,11,301,258,43,290,249,41,Natural resources and mining
9/30/12,0,280,239,41,280,244,36,Natural resources and mining
12/31/12,-7,280,239,41,287,249,38,Natural resources and mining
3/31/13,21,277,236,41,256,218,38,Natural resources and mining
6/30/13,18,289,249,40,271,234,37,Natural resources and mining
9/30/13,-5,264,224,40,269,234,35,Natural resources and mining
