GeoName,year,Compensation of employees,Gross domestic product (GDP) by state,Gross operating surplus,Per capita real GDP by state,Quantity indexes for real GDP by state,Real GDP by state,Subsidies,Taxes on production and imports,Taxes on production and imports less subsidies
Vermont,2000,10941,18265,5864,36379,87.928,22177,-102,1562,1461
Virginia,2000,159191,269194,94182,47456,82.282,337211,-802,16623,15821
Washington,2000,133268,239942,87392,50572,85.082,298907,-1321,20604,19282
West Virginia,2000,24446,42497,14616,31986,91.043,57799,-103,3537,3434
Wisconsin,2000,109993,181874,59221,41816,91.418,224720,-879,13539,12660
Wyoming,2000,8356,17324,7265,50687,67.326,25055,-104,1808,1704
Alabama,2001,72234,124885,45435,33908,89.327,151486,-659,7875,7216
Alaska,2001,14837,28942,11750,59329,74.431,37598,-117,2471,2354
Arizona,2001,95180,172634,66298,39258,85.159,207024,-741,11897,11156
Arkansas,2001,40219,71128,26298,31883,85.733,85817,-633,5243,4611
California,2001,787127,1394863,535906,47786,86.098,1647632,-15430,87260,71830
Colorado,2001,107531,185264,67821,50247,88.922,222378,-1032,10944,9912
Connecticut,2001,97625,172336,63227,60867,92.423,208946,-488,11973,11485
Delaware,2001,20006,43314,21513,64376,90.864,51224,-157,1953,1796
District of Columbia,2001,45966,65400,17734,145924,84.734,83834,-359,2060,1701
Florida,2001,295781,519024,178105,38731,87.754,633522,-2671,47809,45138
Georgia,2001,173934,316351,123719,45206,94.032,378692,-1544,20242,18698
Hawaii,2001,24649,42789,14989,43535,82.128,53371,-342,3493,3152
Idaho,2001,21025,37812,14806,33559,82.286,44296,-479,2460,1981
Illinois,2001,293475,503969,178143,48940,95.502,611182,-2295,34647,32352
Indiana,2001,119109,207104,75896,40259,93.666,246699,-773,12872,12099
Iowa,2001,53459,96093,37194,39039,83.797,114463,-945,6385,5440
Kansas,2001,52925,90269,31629,40070,88.438,108275,-685,6400,5715
Kentucky,2001,69368,118975,41118,35718,93.078,145306,-624,9113,8489
Louisiana,2001,72230,140264,57577,41610,88.934,186322,-464,10922,10458
Maine,2001,22755,38317,12189,36562,93.599,47007,-152,3524,3373
Maryland,2001,121237,206296,73112,47007,83.310,252649,-771,12716,11946
Massachusetts,2001,181570,296348,100840,54941,91.835,351495,-1086,15024,13938
Michigan,2001,214237,351014,114276,40980,111.746,409440,-1081,23582,22501
Minnesota,2001,120298,198343,65639,47796,91.789,238157,-1145,13552,12407
Mississippi,2001,38819,67662,23478,28953,89.607,82601,-454,5818,5364
Missouri,2001,112019,191750,68547,41263,93.267,232769,-855,12039,11184
Montana,2001,12874,23063,8773,32292,82.256,29288,-222,1638,1416
Nebraska,2001,34413,60217,22679,42499,84.310,73092,-802,3927,3125
Nevada,2001,45281,80134,28899,48010,84.318,100744,-344,6298,5954
New Hampshire,2001,27061,45163,14803,42899,88.761,53861,-114,3412,3298
New Jersey,2001,213906,373205,129925,53470,93.788,454107,-1332,30706,29374
New Mexico,2001,28591,56889,24689,38201,84.618,69972,-356,3965,3609
New York,2001,493697,864377,317967,54402,90.753,1038147,-4449,57163,52713
