contract_establish,end_establish,expand_establish,month,net_change,open_establish,state,total_contract,total_expand,year
82902,21935,81969,September,5603,28471,Louisiana,104837,110440,1992.0
81189,13888,88284,December,9552,16345,Louisiana,95077,104629,1992.0
82367,22298,77708,March,-2151,24806,Louisiana,104665,102514,1993.0
71752,21336,88269,June,19012,23831,Louisiana,93088,112100,1993.0
77884,18725,90095,September,13822,20336,Louisiana,96609,110431,1993.0
78887,15923,87844,December,11162,18128,Louisiana,94810,105972,1993.0
80950,22205,89778,March,11287,24664,Louisiana,103155,114442,1994.0
82496,21328,90050,June,8751,22525,Louisiana,103824,112575,1994.0
76425,16731,100392,September,30192,22956,Louisiana,93156,123348,1994.0
82724,20079,89592,December,7258,20469,Louisiana,102803,110061,1994.0
90212,19943,87999,March,1769,23925,Louisiana,110155,111924,1995.0
85841,21201,97796,June,11134,20380,Louisiana,107042,118176,1995.0
78899,14872,100985,September,23797,16583,Louisiana,93771,117568,1995.0
90528,17810,84506,December,-6597,17235,Louisiana,108338,101741,1995.0
85118,18332,86513,March,3450,20387,Louisiana,103450,106900,1996.0
79763,15946,94033,June,19617,21293,Louisiana,95709,115326,1996.0
82513,18503,96380,September,16462,21098,Louisiana,101016,117478,1996.0
90688,16682,89550,December,835,18655,Louisiana,107370,108205,1996.0
91276,18526,90490,March,644,19956,Louisiana,109802,110446,1997.0
82281,14577,96416,June,17702,18144,Louisiana,96858,114560,1997.0
85075,17442,101691,September,18524,19350,Louisiana,102517,121041,1997.0
88341,18610,95759,December,12704,23896,Louisiana,106951,119655,1997.0
92576,19951,90711,March,-3930,17886,Louisiana,112527,108597,1998.0
88663,20754,103799,June,19924,25542,Louisiana,109417,129341,1998.0
98181,19373,96686,September,2596,23464,Louisiana,117554,120150,1998.0
95678,20875,92735,December,-3235,20583,Louisiana,116553,113318,1998.0
98234,21965,93603,March,-3434,23162,Louisiana,120199,116765,1999.0
98646,24037,97855,June,-1188,23640,Louisiana,122683,121495,1999.0
98126,23097,103821,September,9192,26594,Louisiana,121223,130415,1999.0
99651,23439,104837,December,5804,24057,Louisiana,123090,128894,1999.0
97721,21941,101677,March,7317,25302,Louisiana,119662,126979,2000.0
95763,26338,104583,June,7128,24646,Louisiana,122101,129229,2000.0
94438,23495,95963,September,-753,21217,Louisiana,117933,117180,2000.0
97529,25254,95642,December,-1130,26011,Louisiana,122783,121653,2000.0
94388,28422,104899,March,3631,21542,Louisiana,122810,126441,2001.0
98535,23890,97461,June,-320,24644,Louisiana,122425,122105,2001.0
96508,22645,88743,September,-8113,22297,Louisiana,119153,111040,2001.0
103186,21836,85278,December,-18237,21507,Louisiana,125022,106785,2001.0
94315,22991,87860,March,-5986,23460,Louisiana,117306,111320,2002.0
88478,22216,88946,June,48,21796,Louisiana,110694,110742,2002.0
89771,19176,84807,September,-2141,21999,Louisiana,108947,106806,2002.0
88340,21973,80472,December,-6087,23754,Louisiana,110313,104226,2002.0
83639,18841,92305,March,7576,17751,Louisiana,102480,110056,2003.0
89879,19273,88968,June,873,21057,Louisiana,109152,110025,2003.0
92814,17109,91959,September,2892,20856,Louisiana,109923,112815,2003.0
85940,17790,86916,December,2955,19769,Louisiana,103730,106685,2003.0
88151,16971,94781,March,8214,18555,Louisiana,105122,113336,2004.0
88316,17535,84695,June,-2265,18891,Louisiana,105851,103586,2004.0
90540,19082,82874,September,-6428,20320,Louisiana,109622,103194,2004.0
86262,18040,93093,December,10445,21654,Louisiana,104302,114747,2004.0
86865,15136,88673,March,4910,18238,Louisiana,102001,106911,2005.0
82618,17317,97268,June,17377,20044,Louisiana,99935,117312,2005.0
130291,97914,91146,September,-117627,19432,Louisiana,228205,110578,2005.0
135446,37402,117670,December,8635,63813,Louisiana,172848,181483,2005.0
96080,15732,123272,March,41764,30304,Louisiana,111812,153576,2006.0
94887,15730,102747,June,16221,24091,Louisiana,110617,126838,2006.0
88960,18117,98983,September,13727,21821,Louisiana,107077,120804,2006.0
87830,17311,97218,December,15008,22931,Louisiana,105141,120149,2006.0
83769,17668,101583,March,21324,21178,Louisiana,101437,122761,2007.0
95003,17655,90682,June,-1215,20761,Louisiana,112658,111443,2007.0
89432,16709,86853,September,4293,23581,Louisiana,106141,110434,2007.0
86119,17955,90701,December,10449,23822,Louisiana,104074,114523,2007.0
86212,17623,87719,March,2329,18445,Louisiana,103835,106164,2008.0
92164,17861,88347,June,-2110,19568,Louisiana,110025,107915,2008.0
99749,20421,83370,September,-16161,20639,Louisiana,120170,104009,2008.0
85993,20055,101668,December,15731,20111,Louisiana,106048,121779,2008.0
98872,18770,77070,March,-22593,17979,Louisiana,117642,95049,2009.0
103059,19305,75400,June,-29250,17714,Louisiana,122364,93114,2009.0
92060,19402,78890,September,-12593,19979,Louisiana,111462,98869,2009.0
86059,17798,80655,December,-3308,19894,Louisiana,103857,100549,2009.0
82266,16659,77446,March,-3254,18225,Louisiana,98925,95671,2010.0
79539,17632,86536,June,8759,19394,Louisiana,97171,105930,2010.0
79572,18868,84026,September,5330,19744,Louisiana,98440,103770,2010.0
83819,18138,84773,December,2559,19743,Louisiana,101957,104516,2010.0
76697,15668,84614,March,11081,18832,Louisiana,92365,103446,2011.0
85261,17775,80216,June,-4537,18283,Louisiana,103036,98499,2011.0
76319,15858,90284,September,19594,21487,Louisiana,92177,111771,2011.0
80644,17146,81208,December,2967,19549,Louisiana,97790,100757,2011.0
82220,17875,98902,March,16191,17384,Louisiana,100095,116286,2012.0
84916,19243,85014,June,191,19336,Louisiana,104159,104350,2012.0
84819,18606,83087,September,-1546,18792,Louisiana,103425,101879,2012.0
73218,18752,87189,December,14905,19686,Louisiana,91970,106875,2012.0
77255,17245,88832,March,13832,19500,Louisiana,94500,108332,2013.0
83662,18947,80494,June,-3365,18750,Louisiana,102609,99244,2013.0
79299,15628,84153,September,12794,23568,Louisiana,94927,107721,2013.0
80836,16115,84022,December,8567,21496,Louisiana,96951,105518,2013.0
77755,16234,88318,March,14432,20103,Louisiana,93989,108421,2014.0
86873,15950,87978,June,3237,18082,Louisiana,102823,106060,2014.0
78246,16968,90793,September,12526,16947,Louisiana,95214,107740,2014.0
81321,13439,91020,December,15278,19018,Louisiana,94760,110038,2014.0
92815,18083,80102,March,-10999,19797,Louisiana,110898,99899,2015.0
92718,15896,86875,June,-4928,16811,Louisiana,108614,103686,2015.0
86020,14795,81222,September,-1468,18125,Louisiana,100815,99347,2015.0
88192,15128,84910,December,3313,21723,Louisiana,103320,106633,2015.0
91416,16367,79692,March,-9877,18214,Louisiana,107783,97906,2016.0
91243,19462,79343,June,-14580,16782,Louisiana,110705,96125,2016.0
86821,16886,88893,September,3713,18527,Louisiana,103707,107420,2016.0
86901,16568,76545,December,-9210,17714,Louisiana,103469,94259,2016.0
77366,15908,85060,March,9262,17476,Louisiana,93274,102536,2017.0
85270,18811,83181,June,-5225,15675,Louisiana,104081,98856,2017.0
81188,15173,80461,September,1182,17082,Louisiana,96361,97543,2017.0
79097,16451,81600,December,2968,16916,Louisiana,95548,98516,2017.0
82902,21935,81969,September,5603,28471,Louisiana,104837,110440,1992.0
81189,13888,88284,December,9552,16345,Louisiana,95077,104629,1992.0
82367,22298,77708,March,-2151,24806,Louisiana,104665,102514,1993.0
71752,21336,88269,June,19012,23831,Louisiana,93088,112100,1993.0
77884,18725,90095,September,13822,20336,Louisiana,96609,110431,1993.0
78887,15923,87844,December,11162,18128,Louisiana,94810,105972,1993.0
80950,22205,89778,March,11287,24664,Louisiana,103155,114442,1994.0
82496,21328,90050,June,8751,22525,Louisiana,103824,112575,1994.0
76425,16731,100392,September,30192,22956,Louisiana,93156,123348,1994.0
82724,20079,89592,December,7258,20469,Louisiana,102803,110061,1994.0
90212,19943,87999,March,1769,23925,Louisiana,110155,111924,1995.0
85841,21201,97796,June,11134,20380,Louisiana,107042,118176,1995.0
78899,14872,100985,September,23797,16583,Louisiana,93771,117568,1995.0
90528,17810,84506,December,-6597,17235,Louisiana,108338,101741,1995.0
85118,18332,86513,March,3450,20387,Louisiana,103450,106900,1996.0
79763,15946,94033,June,19617,21293,Louisiana,95709,115326,1996.0
82513,18503,96380,September,16462,21098,Louisiana,101016,117478,1996.0
90688,16682,89550,December,835,18655,Louisiana,107370,108205,1996.0
91276,18526,90490,March,644,19956,Louisiana,109802,110446,1997.0
82281,14577,96416,June,17702,18144,Louisiana,96858,114560,1997.0
85075,17442,101691,September,18524,19350,Louisiana,102517,121041,1997.0
88341,18610,95759,December,12704,23896,Louisiana,106951,119655,1997.0
92576,19951,90711,March,-3930,17886,Louisiana,112527,108597,1998.0
88663,20754,103799,June,19924,25542,Louisiana,109417,129341,1998.0
98181,19373,96686,September,2596,23464,Louisiana,117554,120150,1998.0
95678,20875,92735,December,-3235,20583,Louisiana,116553,113318,1998.0
98234,21965,93603,March,-3434,23162,Louisiana,120199,116765,1999.0
98646,24037,97855,June,-1188,23640,Louisiana,122683,121495,1999.0
98126,23097,103821,September,9192,26594,Louisiana,121223,130415,1999.0
99651,23439,104837,December,5804,24057,Louisiana,123090,128894,1999.0
97721,21941,101677,March,7317,25302,Louisiana,119662,126979,2000.0
95763,26338,104583,June,7128,24646,Louisiana,122101,129229,2000.0
94438,23495,95963,September,-753,21217,Louisiana,117933,117180,2000.0
97529,25254,95642,December,-1130,26011,Louisiana,122783,121653,2000.0
94388,28422,104899,March,3631,21542,Louisiana,122810,126441,2001.0
98535,23890,97461,June,-320,24644,Louisiana,122425,122105,2001.0
96508,22645,88743,September,-8113,22297,Louisiana,119153,111040,2001.0
103186,21836,85278,December,-18237,21507,Louisiana,125022,106785,2001.0
94315,22991,87860,March,-5986,23460,Louisiana,117306,111320,2002.0
88478,22216,88946,June,48,21796,Louisiana,110694,110742,2002.0
89771,19176,84807,September,-2141,21999,Louisiana,108947,106806,2002.0
88340,21973,80472,December,-6087,23754,Louisiana,110313,104226,2002.0
83639,18841,92305,March,7576,17751,Louisiana,102480,110056,2003.0
89879,19273,88968,June,873,21057,Louisiana,109152,110025,2003.0
92814,17109,91959,September,2892,20856,Louisiana,109923,112815,2003.0
85940,17790,86916,December,2955,19769,Louisiana,103730,106685,2003.0
88151,16971,94781,March,8214,18555,Louisiana,105122,113336,2004.0
88316,17535,84695,June,-2265,18891,Louisiana,105851,103586,2004.0
90540,19082,82874,September,-6428,20320,Louisiana,109622,103194,2004.0
86262,18040,93093,December,10445,21654,Louisiana,104302,114747,2004.0
86865,15136,88673,March,4910,18238,Louisiana,102001,106911,2005.0
82618,17317,97268,June,17377,20044,Louisiana,99935,117312,2005.0
130291,97914,91146,September,-117627,19432,Louisiana,228205,110578,2005.0
135446,37402,117670,December,8635,63813,Louisiana,172848,181483,2005.0
96080,15732,123272,March,41764,30304,Louisiana,111812,153576,2006.0
94887,15730,102747,June,16221,24091,Louisiana,110617,126838,2006.0
88960,18117,98983,September,13727,21821,Louisiana,107077,120804,2006.0
87830,17311,97218,December,15008,22931,Louisiana,105141,120149,2006.0
83769,17668,101583,March,21324,21178,Louisiana,101437,122761,2007.0
95003,17655,90682,June,-1215,20761,Louisiana,112658,111443,2007.0
89432,16709,86853,September,4293,23581,Louisiana,106141,110434,2007.0
86119,17955,90701,December,10449,23822,Louisiana,104074,114523,2007.0
86212,17623,87719,March,2329,18445,Louisiana,103835,106164,2008.0
92164,17861,88347,June,-2110,19568,Louisiana,110025,107915,2008.0
99749,20421,83370,September,-16161,20639,Louisiana,120170,104009,2008.0
85993,20055,101668,December,15731,20111,Louisiana,106048,121779,2008.0
98872,18770,77070,March,-22593,17979,Louisiana,117642,95049,2009.0
103059,19305,75400,June,-29250,17714,Louisiana,122364,93114,2009.0
92060,19402,78890,September,-12593,19979,Louisiana,111462,98869,2009.0
86059,17798,80655,December,-3308,19894,Louisiana,103857,100549,2009.0
82266,16659,77446,March,-3254,18225,Louisiana,98925,95671,2010.0
79539,17632,86536,June,8759,19394,Louisiana,97171,105930,2010.0
79572,18868,84026,September,5330,19744,Louisiana,98440,103770,2010.0
83819,18138,84773,December,2559,19743,Louisiana,101957,104516,2010.0
76697,15668,84614,March,11081,18832,Louisiana,92365,103446,2011.0
85261,17775,80216,June,-4537,18283,Louisiana,103036,98499,2011.0
76319,15858,90284,September,19594,21487,Louisiana,92177,111771,2011.0
80644,17146,81208,December,2967,19549,Louisiana,97790,100757,2011.0
82220,17875,98902,March,16191,17384,Louisiana,100095,116286,2012.0
84916,19243,85014,June,191,19336,Louisiana,104159,104350,2012.0
84819,18606,83087,September,-1546,18792,Louisiana,103425,101879,2012.0
73218,18752,87189,December,14905,19686,Louisiana,91970,106875,2012.0
77255,17245,88832,March,13832,19500,Louisiana,94500,108332,2013.0
83662,18947,80494,June,-3365,18750,Louisiana,102609,99244,2013.0
79299,15628,84153,September,12794,23568,Louisiana,94927,107721,2013.0
80836,16115,84022,December,8567,21496,Louisiana,96951,105518,2013.0
77755,16234,88318,March,14432,20103,Louisiana,93989,108421,2014.0
86873,15950,87978,June,3237,18082,Louisiana,102823,106060,2014.0
78246,16968,90793,September,12526,16947,Louisiana,95214,107740,2014.0
81321,13439,91020,December,15278,19018,Louisiana,94760,110038,2014.0
92815,18083,80102,March,-10999,19797,Louisiana,110898,99899,2015.0
92718,15896,86875,June,-4928,16811,Louisiana,108614,103686,2015.0
86020,14795,81222,September,-1468,18125,Louisiana,100815,99347,2015.0
88192,15128,84910,December,3313,21723,Louisiana,103320,106633,2015.0
91416,16367,79692,March,-9877,18214,Louisiana,107783,97906,2016.0
91243,19462,79343,June,-14580,16782,Louisiana,110705,96125,2016.0
86821,16886,88893,September,3713,18527,Louisiana,103707,107420,2016.0
86901,16568,76545,December,-9210,17714,Louisiana,103469,94259,2016.0
77366,15908,85060,March,9262,17476,Louisiana,93274,102536,2017.0
85270,18811,83181,June,-5225,15675,Louisiana,104081,98856,2017.0
81188,15173,80461,September,1182,17082,Louisiana,96361,97543,2017.0
79097,16451,81600,December,2968,16916,Louisiana,95548,98516,2017.0
27985,7482,32456,September,6250,9261,Maine,35467,41717,1992.0
27671,8100,28138,December,188,7821,Maine,35771,35959,1992.0
28630,11168,28282,March,-1028,10488,Maine,39798,38770,1993.0
23832,7911,27164,June,5038,9617,Maine,31743,36781,1993.0
26564,10191,31376,September,6098,11477,Maine,36755,42853,1993.0
27935,8723,27663,December,2112,11107,Maine,36658,38770,1993.0
28561,8988,30650,March,4149,11048,Maine,37549,41698,1994.0
25693,11018,28265,June,872,9318,Maine,36711,37583,1994.0
26460,10230,34164,September,9903,12429,Maine,36690,46593,1994.0
28657,8342,29470,December,1249,8778,Maine,36999,38248,1994.0
30398,7911,32127,March,3222,9404,Maine,38309,41531,1995.0
30382,7758,28215,June,-41,9884,Maine,38140,38099,1995.0
28693,12039,30957,September,304,10079,Maine,40732,41036,1995.0
31550,8435,27839,December,-2618,9528,Maine,39985,37367,1995.0
29035,8221,34095,March,5783,8944,Maine,37256,43039,1996.0
30255,9174,29343,June,-1288,8798,Maine,39429,38141,1996.0
27570,9586,32972,September,5646,9830,Maine,37156,42802,1996.0
28644,9243,30997,December,3027,9917,Maine,37887,40914,1996.0
29954,9797,33907,March,2314,8158,Maine,39751,42065,1997.0
30680,9386,30889,June,2434,11611,Maine,40066,42500,1997.0
28986,9359,33167,September,6266,11444,Maine,38345,44611,1997.0
31762,9586,31868,December,3089,12569,Maine,41348,44437,1997.0
31035,9451,34758,March,6598,12326,Maine,40486,47084,1998.0
30508,8660,30155,June,1040,10053,Maine,39168,40208,1998.0
28804,8256,35178,September,6567,8449,Maine,37060,43627,1998.0
30328,8083,31813,December,3192,9790,Maine,38411,41603,1998.0
29625,8452,34846,March,7908,11139,Maine,38077,45985,1999.0
32674,8628,31843,June,-582,8877,Maine,41302,40720,1999.0
31933,8844,33793,September,2875,9859,Maine,40777,43652,1999.0
31027,8068,33609,December,3056,8542,Maine,39095,42151,1999.0
29581,7362,38367,March,13779,12355,Maine,36943,50722,2000.0
34399,7572,31905,June,-1009,9057,Maine,41971,40962,2000.0
36852,8840,34722,September,-2885,8085,Maine,45692,42807,2000.0
32475,8050,35289,December,2714,7950,Maine,40525,43239,2000.0
34659,7645,37331,March,4544,9517,Maine,42304,46848,2001.0
33816,8315,30645,June,-2648,8838,Maine,42131,39483,2001.0
33799,10269,29337,September,-6578,8153,Maine,44068,37490,2001.0
32068,9356,28940,December,-4184,8300,Maine,41424,37240,2001.0
29730,9069,35246,March,8532,12085,Maine,38799,47331,2002.0
30876,7280,29888,June,33,8301,Maine,38156,38189,2002.0
30775,7201,27778,September,-2478,7720,Maine,37976,35498,2002.0
29673,8982,30652,December,-395,7608,Maine,38655,38260,2002.0
30279,8458,31734,March,2926,9929,Maine,38737,41663,2003.0
30727,9854,29531,June,-2757,8293,Maine,40581,37824,2003.0
29211,8302,28813,September,2974,11674,Maine,37513,40487,2003.0
29291,9629,31211,December,1285,8994,Maine,38920,40205,2003.0
30005,8134,32233,March,2546,8452,Maine,38139,40685,2004.0
33490,7211,30126,June,-1633,8942,Maine,40701,39068,2004.0
30643,9851,29350,September,-272,10872,Maine,40494,40222,2004.0
29701,8603,30804,December,3385,10885,Maine,38304,41689,2004.0
31840,10846,27750,March,-3710,11226,Maine,42686,38976,2005.0
30769,9271,29586,June,-1574,8880,Maine,40040,38466,2005.0
29672,8204,28784,September,-408,8684,Maine,37876,37468,2005.0
30357,7661,31869,December,4610,10759,Maine,38018,42628,2005.0
29252,8360,29582,March,1439,9469,Maine,37612,39051,2006.0
31178,7736,29754,June,-336,8824,Maine,38914,38578,2006.0
31760,8461,27720,September,-4017,8484,Maine,40221,36204,2006.0
28782,8281,32042,December,4614,9635,Maine,37063,41677,2006.0
30995,7501,30082,March,2824,11238,Maine,38496,41320,2007.0
30577,9909,29945,June,-2123,8418,Maine,40486,38363,2007.0
31672,8720,29201,September,-2452,8739,Maine,40392,37940,2007.0
27899,7980,31712,December,5169,9336,Maine,35879,41048,2007.0
31080,8080,29495,March,-624,9041,Maine,39160,38536,2008.0
30804,10386,29394,June,-3393,8403,Maine,41190,37797,2008.0
32345,10760,27451,September,-7434,8220,Maine,43105,35671,2008.0
33231,8073,27534,December,-2119,11651,Maine,41304,39185,2008.0
34975,8056,23584,March,-10966,8481,Maine,43031,32065,2009.0
31853,8098,27606,June,-4223,8122,Maine,39951,35728,2009.0
28855,7686,27728,September,50,8863,Maine,36541,36591,2009.0
29342,7827,27277,December,-812,9080,Maine,37169,36357,2009.0
28012,7682,24914,March,-2889,7891,Maine,35694,32805,2010.0
27903,8229,27751,June,-425,7956,Maine,36132,35707,2010.0
26696,7341,28014,September,2151,8174,Maine,34037,36188,2010.0
26720,8133,27726,December,640,7767,Maine,34853,35493,2010.0
26655,7503,25953,March,-1075,7130,Maine,34158,33083,2011.0
27908,8104,28268,June,617,8361,Maine,36012,36629,2011.0
25907,6764,28804,September,4500,8367,Maine,32671,37171,2011.0
